============================= test session starts ==============================
platform linux -- Python 3.12.12, pytest-9.1.1, pluggy-1.6.0 -- /home/ventus/src/hibiki/.venv/bin/python
cachedir: .pytest_cache
hypothesis profile 'default'
rootdir: /home/ventus/src/hibiki
configfile: pyproject.toml
plugins: asyncio-1.4.0, hypothesis-6.167.1, anyio-4.15.1
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 102 items

tests/application/test_m0_acceptance.py::test_h001_no_active_contract_no_dispatch PASSED [  0%]
tests/application/test_m0_acceptance.py::test_h002_user_agent_cannot_approve PASSED [  1%]
tests/application/test_m0_acceptance.py::test_h002_internal_cannot_approve PASSED [  2%]
tests/application/test_m0_acceptance.py::test_h003_stale_approval_rejected PASSED [  3%]
tests/application/test_m0_acceptance.py::test_h004_duplicate_decision_idempotent PASSED [  4%]
tests/application/test_m0_acceptance.py::test_h005_idempotency_conflict PASSED [  5%]
tests/application/test_m0_acceptance.py::test_h006_cancel_invalidates_pending_start PASSED [  6%]
tests/application/test_m0_acceptance.py::test_h007_gate_freezes_dispatch PASSED [  7%]
tests/application/test_m0_acceptance.py::test_h008_pause_resume_with_pending_gate PASSED [  8%]
tests/application/test_m0_acceptance.py::test_h009_crash_before_commit_no_partial PASSED [  9%]
tests/application/test_m0_acceptance.py::test_h009_crash_after_commit_scan_recovers PASSED [ 10%]
tests/application/test_m0_acceptance.py::test_h010_late_result_does_not_overwrite PASSED [ 11%]
tests/application/test_m0_acceptance.py::test_h011_stale_planner_generation PASSED [ 12%]
tests/application/test_m0_acceptance.py::test_h012_profile_version_frozen_on_run PASSED [ 13%]
tests/application/test_m0_acceptance.py::test_h013_verify_fail_blocks_verdict_pass_dep PASSED [ 14%]
tests/application/test_m0_acceptance.py::test_h014_plan_authorization_change_needs_delta PASSED [ 15%]
tests/application/test_m0_acceptance.py::test_h015_unrelated_plan_bump_keeps_valid_result PASSED [ 16%]
tests/application/test_m0_acceptance.py::test_h016_upstream_hash_change_invalidates_pass PASSED [ 17%]
tests/application/test_m0_acceptance.py::test_h017_no_completed_without_acceptance PASSED [ 18%]
tests/application/test_m0_acceptance.py::test_h018_budget_gate PASSED    [ 19%]
tests/application/test_m0_acceptance.py::test_h019_lease_expired_writer_alive_quarantine PASSED [ 20%]
tests/application/test_m0_acceptance.py::test_h020_reconcile_keeps_paused_waiting PASSED [ 21%]
tests/application/test_m0_acceptance.py::test_h021_event_sequence_monotonic_ignores_producer_clock PASSED [ 22%]
tests/application/test_m0_acceptance.py::test_h044_no_dispatch_without_approval PASSED [ 23%]
tests/application/test_m0_acceptance.py::test_h045_param_change_invalidates_old_approval PASSED [ 24%]
tests/application/test_m0_acceptance.py::test_h046_dispatch_crash_leaves_identity PASSED [ 25%]
tests/application/test_m0_acceptance.py::test_h047_idempotent_reconcile_single_effect PASSED [ 26%]
tests/application/test_m0_acceptance.py::test_h048_non_idempotent_unknown_no_auto_redispatch PASSED [ 27%]
tests/application/test_m0_acceptance.py::test_h049_same_logical_action_reuses_effect PASSED [ 28%]
tests/application/test_m0_acceptance.py::test_h050_cancel_after_dispatch_keeps_uncertainty PASSED [ 29%]
tests/application/test_m0_review_regressions.py::test_p0_user_agent_cannot_approve_side_effect PASSED [ 30%]
tests/application/test_m0_review_regressions.py::test_p0_unknown_exception_does_not_blind_replay PASSED [ 31%]
tests/application/test_m0_review_regressions.py::test_p0_cancel_blocks_unsent_side_effect PASSED [ 32%]
tests/application/test_m0_review_regressions.py::test_p1_acceptance_rejects_empty_and_stale_snapshot PASSED [ 33%]
tests/application/test_m0_review_regressions.py::test_p1_completed_cannot_pause PASSED [ 34%]
tests/application/test_m0_review_regressions.py::test_p1_quiescent_refuses_live_writer PASSED [ 35%]
tests/application/test_m0_review_regressions.py::test_p1_pause_resume_clears_markers PASSED [ 36%]
tests/application/test_m0_review_regressions.py::test_p1_gate_resolve_restores_dispatch PASSED [ 37%]
tests/application/test_m0_review_regressions.py::test_p1_plan_rejects_cross_task_work_unit PASSED [ 38%]
tests/application/test_m0_review_regressions.py::test_p1_plan_binds_spec_version PASSED [ 39%]
tests/application/test_m0_review_regressions.py::test_p1_instance_lock_mutex PASSED [ 40%]
tests/application/test_m0_review_regressions.py::test_p1_outbox_inflight_recovery PASSED [ 41%]
tests/application/test_m0_review_regressions.py::test_p1_inbox_dedup_same_message_id PASSED [ 42%]
tests/application/test_m0_review_regressions.py::test_p1_concurrency_limits PASSED [ 43%]
tests/application/test_m0_review_regressions.py::test_p1_contract_resource_limit_synced PASSED [ 44%]
tests/application/test_m0_review_regressions.py::test_p0_paused_blocks_side_effect_dispatch PASSED [ 45%]
tests/application/test_m0_review_regressions.py::test_p0_blocking_gate_blocks_side_effect_dispatch PASSED [ 46%]
tests/application/test_m0_review_regressions.py::test_p1_acceptance_rejects_fail_without_criterion_evidence PASSED [ 47%]
tests/application/test_m0_review_regressions.py::test_p1_result_does_not_imply_executor_exit PASSED [ 48%]
tests/application/test_m0_review_regressions.py::test_p1_lost_run_recovers_work_unit_for_retry PASSED [ 49%]
tests/application/test_m0_review_regressions.py::test_p1_inbox_replay_preserves_failure PASSED [ 50%]
tests/application/test_m0_review_regressions.py::test_p1_client_extra_evidence_cannot_bypass_fail PASSED [ 50%]
tests/application/test_m0_review_regressions.py::test_p1_spec_change_rejects_old_run_completing_new_definition PASSED [ 51%]
tests/application/test_m0_review_regressions.py::test_p1_gate_revoke_start_allows_redispatch PASSED [ 52%]
tests/application/test_m0_review_regressions.py::test_p1_pause_stops_succeeded_but_alive_executor PASSED [ 53%]
tests/application/test_m0_review_regressions.py::test_p0_inflight_start_gate_no_double_writer PASSED [ 54%]
tests/application/test_m0_review_regressions.py::test_p1_structured_result_same_hash_dual_refs PASSED [ 55%]
tests/application/test_m0_review_regressions.py::test_p1_verify_fail_not_masked_by_prior_pass_artifact PASSED [ 56%]
tests/application/test_m0_review_regressions.py::test_p1_user_agent_cannot_submit_result PASSED [ 57%]
tests/application/test_m0_review_regressions.py::test_p1_worker_bound_gate_then_redispatch PASSED [ 58%]
tests/application/test_m0_review_regressions.py::test_p1_contract_delta_stays_pending_apply PASSED [ 59%]
tests/application/test_m0_review_regressions.py::test_p0_reconcile_inflight_start_then_gate_no_double_writer PASSED [ 60%]
tests/application/test_m0_review_regressions.py::test_p1_evidence_sequence_beats_same_created_at_pass PASSED [ 61%]
tests/application/test_m0_review_regressions.py::test_p1_extra_evidence_cannot_select_stale_pass_hash PASSED [ 62%]
tests/application/test_m0_review_regressions.py::test_p1_internal_must_bind_principal_and_fencing PASSED [ 63%]
tests/application/test_m0_review_regressions.py::test_p1_dual_approved_delta_second_apply_conflicts PASSED [ 64%]
